lambda tr_loss
# gamma = 1e-05
1.000000000000000036e-10 1.187180324922598433e+06
1.000000000000000062e-09 1.186988520585757447e+06
1.000000000000000021e-08 1.187163161489659688e+06
9.999999999999999547e-08 1.187349001708312891e+06
9.999999999999999547e-07 1.187357172188217519e+06
1.000000000000000082e-05 1.187163405219265493e+06
1.000000000000000048e-04 1.187173898515300592e+06
1.000000000000000021e-03 1.187349014468361624e+06
1.000000000000000021e-02 1.187160001834774856e+06
1.000000000000000056e-01 1.186762420013446826e+06
